struct_idx	county	phillimore	head_of_manor	geld	g_code	vill_tax	taxed_on	lords_geld	new_land	ploughlands	p_code	lords_ploughs	mens_ploughs	total_ploughs	lords_ploughs_possible	mens_ploughs_possible	total_ploughs_possible	villagers	smallholders	slaves	female_slaves	freemen	free_men	priests	cottagers	other_pop	misc_pop	misc_pop_categories	burgesses	mills	mill_value	meadow	meadow_units	pasture	pasture_units	woodland	woodland_units	fisheries	salthouses	payments	payments_units	churches	church_land	value_86	value_66	value_qr	values	render	waste	waste_66	waste_qr	waste_86	duplicates	subholdings	notes
33	KEN	M7	-	1	unchanged		1				no ploughlands	1	0	1				0	7	0	0	0	0	0	0	0	0	-	0				-		-		-				-			3.45	4		tre;now		none	N	N	N	G	-	Duplicates: geld duplicated in M1.
34	KEN	M8	-	1	unchanged		1				no ploughlands	1	0.5	1.5				2	2	0	0	0	0	0	0	0	0	-	0				-		-		-				-			3	1		tre;now		none	N	N	N	G	-	Duplicates: geld duplicated in M1.
35	KEN	M9	-	1	unchanged		1				no ploughlands	0	1	1				3	6	0	0	0	0	0	0	0	0	-	0				-		-		-				-			1.5	1		tre;now		none	N	N	N	G	-	"Duplicates: geld duplicated in M1. Values: Excerpta, 60s."
36	KEN	M10	-	1	unchanged		1				no ploughlands	0	1.5	1.5				3	5	0	0	0	0	0	0	0	0	-	0				-		-		-				-			3	3.5		tre;now		none	N	N	N	G	-	Duplicates: geld duplicated in M1.
37	KEN	M11	-	1	unchanged		1				no ploughlands	0.5	0.5	1				2	6	0	0	0	0	0	0	0	0	-	0				-		-		-				-			3	4		tre;now		none	N	N	N	G	-	Duplicates: geld duplicated in M1. Landowners: Sigar named in Excerpta which implies Turbat and Trublet are the same individual.
38	KEN	M12	-	0.7	unchanged		0.7				no ploughlands	0.5	0.5	1				1	0	0	0	0	0	0	0	0	0	-	0				-		-		-				-						no data		none	N	N	N	G	-	Geld: 1/2 sulung and 25 acres. Duplicates: geld duplicated in M1.
39	KEN	M13	-	0.7	unchanged		0.7				no ploughlands	0	1	1				1	0	0	0	0	0	0	0	0	0	-	0				-		-		-				-			3	4	12	tre;now		none	N	N	N	G	-	"Geld: 85 acres; Excerpta, 80. Duplicates: geld duplicated in M1. Values: Excerpta provides the intermediate valuation: value then £12; now 60s."
40	KEN	M14	-	1.83	unchanged		1.83				no ploughlands	2	0.5	2.5				1	6	0	0	0	0	0	0	0	0	-	0				-		-		-				-			8	7		tre;now		none	N	N	N	G	Y	"Geld: 1 sulung and 100 acres. Duplicates: geld duplicated in M1. Values: Excerpta adds that archbishop has 1 sulung, value £6.5, not included here."
41	KEN	M15	-	1	unchanged		1				no ploughlands	0	1.5	1.5				2	3	0	0	0	0	0	0	0	0	-	0				-		-		-				-			2.75	4		tre;now		none	N	N	N	G	-	Duplicates: geld duplicated in M1.
42	KEN	M16	-	1	unchanged		1				no ploughlands	0.5	1	1.5				3	9	0	0	0	0	0	0	0	0	-	0				-		-		-				-			3	5		tre;now		none	N	N	N	G	-	Duplicates: geld duplicated in M1.
43	KEN	M17	-	0.75	unchanged		0.75				no ploughlands	0	1	1				3	8	0	0	0	0	0	0	0	0	-	0				-		-		-				-			3	3	3	tre;qr;now		none	N	N	N	G	-	"Geld: 3 virgates; Excerpta, 3 yokes. Duplicates: geld duplicated in M1. Values: Excerpta, value £4."
44	KEN	M18	-	1	unchanged		1				no ploughlands	0	1.5	1.5				3	7	0	0	0	0	0	0	0	0	-	0				-		-		-				-			1.5	2		tre;now		none	N	N	N	G	-	Duplicates: geld duplicated in M1.
45	KEN	M19	-	0.62	unchanged		0.62				no ploughlands	1	0	1				2	2	0	0	0	0	0	0	0	0	-	0				-		-		-				-			3	2		tre;now		none	N	N	N	G	-	Duplicates: geld duplicated in M1.
46	KEN	M20	-	0.37	unchanged		0.37				no ploughlands	0.5	0	0.5				2	1	0	0	0	0	0	0	0	0	-	0				-		-		-				-			1.25	1.75	1.5	tre;now		none	N	N	N	G	-	"Duplicates: geld duplicated in M1. Values: Excerpta provides the intermediate valuation, value was 30s; now 25s."
47	KEN	M21	-	0.37	unchanged		0.37				no ploughlands	0	0.25	0.25				1	0	0	0	0	0	0	0	0	0	-	0				-		-		-				-			1	1.25		tre;now		none	N	N	N	G	-	"Geld: 1.5 yokes; Excerpta, 1 yoke. Duplicates: geld duplicated in M1. Values: Excerpta, 20s before 1066."
48	KEN	M22	-	1	unchanged		1				no ploughlands	1	1	2				4	0	0	0	0	0	0	0	0	0	-	0				-		-		-				-			4	6		tre;now		none	N	N	N	G	-	Duplicates: geld duplicated in M1.
49	KEN	M23	-	1	unchanged		1				no ploughlands	0	2	2				4	5	0	0	0	0	0	0	0	0	-	0				-		-		-				-			4	5		tre;now		none	N	N	N	G	-	Duplicates: geld duplicated in M1.
50	KEN	M24	-	1	unchanged		1				no ploughlands	2	1	3				3	4	0	0	0	0	0	0	0	0	-	0				-		-		-				-	1		6	8		tre;now		none	N	N	N	G	-	Duplicates: geld duplicated in M1. Landowners: Excerpta names Oswy as 1066 holder.
51	KEN	C1	-		no units						-	0	0	0				0	0	0	0	0	0	0	0	0	0	-	231	3	5.4	8	acres		-		just woodland			5.35	miscellaneous			50	51	51	tre;qr;now	59.5	now waste except	N	N	P	-	-	"Population: 21 houses assumed by Darby to imply burgesses. Waste: houses destroyed. Payments: toll, 68s; meadow, 15s; unproductive woodland, 24s. Values: renders £30 weighed, £24 at face value, 110s to sheriff."
53	KEN	C3	-	0.98	unchanged		0.98				-	0	0	0				0	0	0	0	0	0	0	0	0	0	-	0				-		-		-				-	1					-		none	N	N	N	-	-	Churches: church possibly recorded elsewhere.
59	KEN	R1	-		no units						-	0	0	0				0	0	0	0	0	0	0	0	0	0	-	0				-		-		-				-			20	5	5	tre;qr;now	40	none	N	N	N	-	-	
86	KEN	"1,3"	-	80	unchanged		80	4	4		no ploughlands	6	167	173				309	74	10	0	0	0	0	0	0	0	-	0	6	1.5	10	acres		just pasture	220	swine render	32	27	7.65	miscellaneous			212.06	200	200	tre;qr;now	189.3	none	N	N	N	-	Y	"Geld: additional sulungs, assumed to be new land. Payments: fisheries, 22s 8d; salt-houses, 27s; toll, 40s; pasture, 13s 4d; escorts, 50s. Values: £140 of Render weighed. Churches: Excerpta, 1."
87	KEN	"1,4"	-	7	unchanged		7			17	land for	2	24	26				30	40	5	0	0	0	0	0	0	0	-	0	1	1	2	acres		-	100	swine render		2	5.8	miscellaneous			80	59.75	60	tre;qr;now		none	N	N	N	-	-	"Payments: woodland, 31s 2d; market, £4; salt-houses, 3s 2d; 3 sites in Canterbury, 20d. Values: Farley records £9 for £60."
89	KEN	"2,1"	-		no units						-	0	0	0				0	0	0	0	0	0	0	0	0	0	-	12	1	0.25		-		-		-			1.75	urban						no data		none	N	N	N	-	-	"Payments: 32 messuages which clergy of town hold in their guild, 35s."
90	KEN	"2,2"	-		no units						-	0	0	0				0	0	0	0	0	0	0	0	0	0	-	0				-		-		-	1			payment in kind			50	15	40	tre;qr;now		none	N	N	N	-	-	Payments: 40000 herrings for the supplies of the monks.
91	KEN	"2,3"	-	2	unchanged		2				missing ploughlands	1	7	8				22	0	6	0	0	0	0	7	0	0	-	5	2	2.5	8	acres		-	20	swine render			0.33	urban			16	14	10	tre;qr;now	18	none	N	N	N	-	-	"Payments: burgesses in Rochester, 6s 8d. Values: Richard's 10s assumed to be additional."
92	KEN	"2,4"	-	8	unchanged		8			42	land for	9	49	58				117	29	13	0	0	0	0	0	0	0	-	0	8	4.8	78	acres		-	180	swine render				-			82			tre;qr;now		none	N	N	N	-	Y	Values: Richard's £10 assumed to be additional; 1066 and intermediate valuations missing; subholding values of thanes from Domesday Monachorum.
93	KEN	"2,5"	-	1.5	unchanged		1.5				missing ploughlands	3	8	11				27	9	8	0	0	0	0	0	0	0	-	0	3.5	0.67	8	acres		-	60	swine render				-	1		18	12	16	tre;qr;now	23	none	N	N	N	-	-	Values: pays £23 and a man-at-arms for the Archbishop's service. Landowners: Domesday Monachorum records (Earl) Godwin as the pre-Conquest landholder; Domesday is silent.
94	KEN	"2,6"	-	3	exemption		2				missing ploughlands	2	10	12				41	15	0	0	0	0	0	0	0	0	-	0	3	2.4	8	acres		-	100	swine render				-	1		20	12	12	tre;qr;now	30.4	none	N	N	N	-	-	
95	KEN	"2,7"	-	4	unchanged		4			8	land for	2	8	10				27	2	5	0	0	0	0	0	0	0	-	0	3	2.52	10	acres		-	40	swine render				-	1		16	12	12	tre;qr;now	21	none	N	N	N	-	-	
96	KEN	"2,8"	-	2	unchanged		2			7	land for	3	5	8				38	12	5	0	0	0	0	0	0	0	-	0	2	0.5	21	acres		-	60	swine render				-	1		9	9	9	tre;qr;now	15	none	N	N	N	-	-	
97	KEN	"2,9"	-	6	exemption		5			14	land for	2	10	12				36	0	7	0	0	0	0	0	0	0	-	0	1	0.5	20	acres		-	20	swine render	1			-	1		28.5	10	12	tre;qr;now	39	none	N	N	N	-	-	Values: £1.50 assumed to be additional to valuation and Render.
98	KEN	"2,10"	-	8	unchanged		8			20	land for	8	18.5	26.5				90	19	20	0	0	0	0	12	0	0	-	0	3	0.75	9	acres		-	500	swine render				-	1		50	15	16	tre;qr;now	61	none	N	N	N	-	Y	"Geld: 1 1/2 yokes; Excerpta, 1 1/2 sulungs. Values: Richard's £15 assumed to be additional; values of subholdings from Domesday Monachorum."
99	KEN	"2,11"	-	10	unchanged		10			30	land for	6.5	31	37.5				57	31	20	0	0	0	0	0	0	0	-	0	6	2.08	23	acres		-	53	swine render	4.5	2		payment in kind	1		36.5	14	12	tre;qr;now		none	N	N	N	-	Y	"Payments: salt-houses, none recorded; fisheries, 450 eels. Details of subholdings from Domesday Monachorum, assumed to be additional. Values: Cola and Wulfric pay 20s to monks."
100	KEN	"2,12"	-	6	unchanged		6			15	land for	2	15	17				42	18	3	0	0	0	0	0	0	0	-	0	1	0.83	14	acres		-	20	swine render	3		2.13	fisheries	1		25	15	12	tre;qr;now	25.95	none	N	N	N	-	Y	Values: subholdings assumed to be additional. Domesday Monachorum values differ slightly. Landowners: DM names two subtenants instead of 1 Frenchman.
101	KEN	"2,13"	-	8	unchanged		8			30	land for	3	27	30				90	25	0	0	0	0	0	0	0	0	-	0	1	0.1	33	acres		-	20	swine render	1	5	0.26	salt-houses	1		35	14	14	tre;qr;now	42.35	none	N	N	N	-	-	"Values: Domesday Monachorum assessed value differs slightly from the Render; additional £7 7s assumed to be part of Render. Payments: salt-houses, 64d; fishery, none recorded."
102	KEN	"2,14"	-	13	unchanged		13			26	land for	7	59.5	66.5				92	69	5	0	0	0	0	0	0	0	-	0			10	acres		-	50	swine render		7	1.26	salt-houses	2		66.03	24.25	24.25	tre;qr;now		none	N	N	N	-	Y	Values: subholdings assumed to be additional; figures in Domesday Monachorum differ slightly. Landowners: details of dependencies supplied by Domesday Monachorum.
103	KEN	"2,15"	-	7	unchanged		7			20	land for	7	22	29				36	29	2	0	0	0	0	0	0	0	-	0			13	acres		-	20	swine render				-	2		29	17.31	17.31	tre;qr;now		none	N	N	N	-	Y	Values: subholdings assumed to be additional; details from Domesday Monachorum.
104	KEN	"2,16"	Westgate I	7	unchanged		7			20	land for	11.5	18	29.5				25	114	1	0	0	0	0	0	0	0	-	25	17	5	134	acres		-	60	swine render			0.5	urban	1		56	24.62	24.62	tre;qr;now		none	N	N	N	P	Y	"Duplicates: 1 sulung possibly duplicated in 2,24. Landowners: Domesday Monachorum supplies details of subholdings, assumed to be additional. Values: details in satellite total £11, not £9. DM records burgesses who pay 10s."
105	KEN	"2,17"	-	6	unchanged		6			50	land for	5	30.5	35.5				64	53	0	0	0	0	0	0	0	0	-	0	2	0.42	20	acres		grazing for pigs	15	swine render			0.11	"meadow,  pasture, woodland"	1		30	20	20	tre;qr;now		none	N	N	N	-	-	"Payments: grazing, 27d."
106	KEN	"2,18"	-	5	unchanged		5				missing ploughlands	2	15	17				31	31	0	0	0	0	0	0	0	0	-	0			4	acres		-	45	swine render	1	1	0.1	miscellaneous			30.81	15.81	15.81	tre;qr;now		none	N	N	N	-	-	"Geld: Domesday Monachorum, 5.5 sulungs. Values: DM values differ significantly. Payments: salt-house, 16d; fishery, 10d."
107	KEN	"2,19"	-	8	exemption		7	1		40	land for	4.5	27	31.5				26	27	12	0	0	0	0	0	0	0	-	0	1	0.16	25	acres		-	26	swine render				-			34	24	24	tre;qr;now	60	none	N	N	N	-	-	Geld: 1086 reduction given by Domesday Monachorum which states the archbishop has the other sulung for his plough. Values: Domesday Monachorum values differ significantly.
108	KEN	"2,20"	-	1	unchanged		1			12	land for	2.5	11	13.5				16	7	8	0	0	0	0	0	0	0	-	0			12.5	acres		-	140	swine render				-			15	12	8	tre;qr;now	20	none	N	N	N	-	-	
109	KEN	"2,21"	-	40	exemption		35				missing ploughlands	17	58	75				89	42	16	0	0	0	0	0	0	1	men-at-arms	0	2	1.7		-		-	5	swine render	1	1	0.12	miscellaneous			123	77	77	tre;qr;now		none	N	N	N	-	Y	"Payments: salt-house and fishery, 30d. Values: details exceed stated total (£123: £123.25); Domesday Monachorum gives £6 for William of Arques."
110	KEN	"2,22"	-	6	exemption		3			12	land for	3	16	19				39	9	0	0	0	0	0	0	0	0	-	0	2	0.25	13	acres		-	30	swine render		2	0.25	salt-houses	1		20	10	10	tre;qr;now		none	N	N	N	-	-	"Geld: Farley, 7 sulungs but manuscript correction to 6 probably contemporary; Domesday Monachorum adds that the assessment was 5.5 sulungs when the archbishop received it."
111	KEN	"2,23"	-	21	exemption		15			100	land for	13	70	83				190	50	13	0	0	0	0	0	0	0	-	0	3	0.8	170	acres		-	60	swine render	3		0.08	fisheries	1		101	62	62	tre;qr;now	101	none	N	N	N	-	-	"Geld: Domesday Monachorum, 20 sulungs for current assessment. Values: now it pays £101 recorded as 1086 valuation and Render, though possibly only latter meant."
112	KEN	"2,24"	Westgate I	1	unchanged		1				missing ploughlands	4	2.5	6.5				5	39	0	0	0	0	0	0	0	0	-	7	5	1		-		-		just woodland			0.4	urban			4	11	4	tre;now		none	N	N	N	P	Y	"Geld: Domesday Monachorum, 1 not 1.5 sulungs, as also implied in valuation. Duplicates: sulung possibly a duplicate of part of 2,16. Values: value for 1066 only for 1/2 sulung."
113	KEN	"2,25"	-	1.75	exemption;unchanged		1.25			10	land for	3	8.5	11.5				28	31	8	0	0	0	7	0	0	0	-	85	1	0.1	20	acres		-	10	swine render			13.25	urban	1		22	20	20	tre;qr;now	25	none	N	N	N	-	Y	"Payments: 85 burgesses, £6; 7 priests, £7 5s. Landowners: Domesday Monachorum names William of Arques as tenant and Alfhere as his predecessor."
114	KEN	"2,26"	-	7	unchanged		7			60	land for	9	60.5	69.5				121	32	11	0	0	0	0	0	0	0	-	6	3	0.5	70	acres		-	111	swine render	1			payment in kind	3		51	24	40	tre;qr;now	71	none	N	N	N	-	Y	Values: subholdings assumed to be additional. Payments: 40 eels. Landowners: Domesday Monachorum supplies details of subholdings.
115	KEN	"2,27"	-	1	unchanged		1				missing ploughlands	0	5	5				25	4	0	0	0	0	0	0	0	1	reeves	0				-		-	40	swine render			1.97	miscellaneous			10	5	12	tre;qr;now	18.5	none	N	N	N	-	-	"Values: Domesday Monachorum, now it is valued at £8 1s in gifts. Payments: market, 39s 7d."
117	KEN	"2,28"	-	1	unchanged		1				missing ploughlands	2	3.5	5.5				13	5	0	0	0	0	0	0	0	0	-	0			6	acres		-	40	swine render				-			11	7		tre;now		none	N	N	N	-	-	Values: £4 of £11 to monks for clothing.
118	KEN	"2,29"	-	6	unchanged		6				missing ploughlands	5	15	20				29	9	9	0	0	0	0	0	0	0	-	0	3	2.4	29	acres		-	40	swine render	1			-	2		23	16		tre;now		none	N	N	N	-	Y	"Values: £3 (Domesday Monachorum), woodland, mill, fishery held by Richard of Tonbridge, assumed to be additional."
119	KEN	"2,30"	-	0.75	exemption		0.5				missing ploughlands	1	0.5	1.5				4	1	4	0	0	0	0	0	0	0	-	0			3	acres		-	11	swine render				-			2.5	2	1	tre;qr;now		none	N	N	N	-	-	"Geld: 3 yokes before 1066, one now outside Orpington, recorded as an exemption."
120	KEN	"2,31"	-	1.5	unchanged		1.5			10	land for	2	12	14				24	16	15	0	0	0	0	0	0	0	-	0	2	1.2		-		grazing for pigs	80	swine render			0.47	"meadow,  pasture, woodland"	1		17	10	10	tre;qr;now		none	N	N	N	-	-	"Landowners: Domesday Monachorum records Young Wulfnoth as the pre-Conquest holder. Payments: grazing, 9s 6d."
121	KEN	"2,32"	-	2.5	exemption		2			9	land for	2	7	9				23	8	0	0	0	0	0	0	0	0	-	0	1	0.2	8	acres		-	80	swine render				-	1		11	10	8	tre;qr;now		none	N	N	N	-	-	"Values: Domesday Monachorum, now valued at £11."
122	KEN	"2,33"	-	0.5	unchanged		0.5			1.5	land for	1	1	2				3	2	0	0	0	0	0	0	0	0	-	0			2	acres		-	16	swine render				-	1		2	2	2	tre;qr;now		none	N	N	N	G	-	"Geld: lies in 6 sulungs of Hollingbourne (3,3). Landowners: pre-Conquest holder recorded in Domesday Monachorum. Duplicates: 1/2 sulung duplicated in 3,3."
123	KEN	"2,34"	-	1	unchanged		1				missing ploughlands	1	1	2				2	1	0	0	0	0	0	0	0	0	-	0				-		-	5	swine render				-			1	1.5	1.5	tre;qr;now		none	N	N	N	-	-	Landowners: 1066 holder recorded in Domesday Monachorum.
124	KEN	"2,35"	-	1	unchanged		1				missing ploughlands	1	2	3				8	10	5	0	0	0	0	0	0	0	-	0			10	acres		-		-		4	0.2	salt-houses			6	5	5	tre;qr;now		none	N	N	N	-	-	
125	KEN	"2,36"	-	2	unchanged		2				missing ploughlands	2	4	6				15	2	4	0	0	0	0	0	0	0	-	0	1	0.35	6	acres		-	10	swine render				-			8			now	12.5	none	N	N	N	-	-	
126	KEN	"2,37"	-	0.5	unchanged		0.5				missing ploughlands	1	0	1				0	2	4	0	0	0	0	0	0	0	-	0				-		-		-				-			4	1.5	1.5	tre;qr;now	5	none	N	N	N	-	-	
127	KEN	"2,38"	-	0.25	unchanged		0.25				no ploughlands	1	0	1				0	0	0	0	0	0	0	0	0	0	-	0				-		-		-				-			0.5			now		none	N	N	N	-	-	
128	KEN	"2,39"	-	1	unchanged		1				no ploughlands	0	3	3				18	0	0	0	0	0	0	0	0	0	-	0				-		-		-				-			1.5	2	0.5	tre;qr;now		none	N	N	N	-	Y	Values: Domesday Monachorum gives 1066 value as £2.5.
129	KEN	"2,40"	-	1	unchanged		1				no ploughlands	2	0	2				0	5	0	0	0	0	0	0	0	0	-	0				-		-		-				-			1.5	1		tre;now		none	N	N	N	-	-	
130	KEN	"2,41"	-	7	exemption		3			15	land for	2	9.5	11.5				33	12	2	0	0	0	0	0	0	0	-	225	9	1	33	acres		-	80	swine render				-	1		29.31	16	8	tre;qr;now		none	N	N	N	-	-	"Geld: Domesday Monachorum records then 7 sulungs, now 5 but answers for 3. Landowners: DM also records Earl Godwin as the pre-Conquest landholder; Domesday is silent. Values: between the borough and manor."
